nama_atlet,kontingen,atribut,nama_kata,grup,kelas
KEYSHA AULIA PUTRI,COAST GUARD KARATE TEAM,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
ADELIA BUNGA LESTARI,UQ TIM B ,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
RATU A. BALQIS MONTOL,DISPORA KOTAMOBAGU,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
NAJWA SYAHRIRA,UQ TIM B ,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
ANGGITA SALSABILA ALDINA PASYA,UQ TIM B ,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
LAUDYA AZZAHRA PUTRI,SNKC LAMPUNG,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
NADYA ULYA ANNAFIS,IPKC / INKAI,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
SANTIKA NUR DWI NOVITANINGRUM,AMC INKANAS DKI,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
TIAS SHOFYA ANDRIYANI,SNKC LAMPUNG,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
CHEVIRA FIORENZA YUVISENA,UQ TIM B ,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
TASYA KLARA ZAHRANI,SNKC LAMPUNG,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
TRI AWANG WIDAYANTI,UQ TIM B ,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
NELLA FADILLAH NUR RIZQI,LEMKARI NGAWI,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
NADYA PERMATA ANDINI,UQ TIM B ,ao,,a,KELAS PERTANDINGAN KATA PERORANGAN SMP SABUK COKELAT PUTRI
