nama_atlet,kontingen,atribut,nama_kata,grup,kelas
ANGELLO NATHANEL T.P,TAJURHALANG/INKAI,aka,tomaribassai,individu,pra pemula pa
PETER KEISER HATI PRANATA,HIROHITO TEGAL/GOJUASS,aka,gekisadai,individu,pra pemula pa
RAIHAN AHMAD DARY,INKADO MALANG,aka,kankusho,individu,pra pemula pa
M.DAFFAYEZA SYAHRAHMANDA,LEMKARI SUMUT,aka,gojushiho sho,individu,pra pemula pa
GAGAH PRASETYA,JCC/GOKASI,aka,,individu,pra pemula pa
ALFIAN DELANO SAFRIZA,TAJURHALANG/INKAI,aka,heian godan,individu,pra pemula pa
KHALIFAH,IPKC/INKAI,aka,heian sandan,individu,pra pemula pa
M.CHAERUL AZZAM,HIROHITO TEGAL/GOJUKAI,aka,kururunfa,individu,pra pemula pa
RIZQI RUBBY AL KAUTSAR,PHOENIX KARATE ACADEMY/LEMKARI,aka,chatanyara,individu,pra pemula pa
MUHAMMAD RAFFI ABDILLAH D,SMA 8 PONTIANAK/INKAI,aka,kankudai,individu,pra pemula pa
